ID,Accession,Target,TargetID,Experiment,Literature,Tissue
EPAS1,2034,CCR7,1236,+,19305150,Not Applicable
ETS1,2113,TFAP2A,7020,+,12843180,Not Applicable
HIF1A,3091,CCR7,1236,+,17178876;19305150,Not Applicable
HOXA10,3206,IL11,3589,-,20478621,Not Applicable
KLF12,11278,TFAP2A,7020,-,10704285;11373277,Not Applicable
KLF2,10365,CCR7,1236,Unknown,20146713,Not Applicable
MAF,4094,ITGB7,3695,+,17490615,Not Applicable
MITF,4286,CTSK,1513,+,21602817,Not Applicable
MYCN,4613,NGFR,4804,-,21123453,Not Applicable
NFKB1,4790,CCR7,1236,+,11830455;19164127,Not Applicable
NFKB1,4790,CCR7,1236,Unknown,22158872,Not Applicable
NFKB1,4790,CXCL5,6374,Unknown,11559712,Not Applicable
NFKB2,4791,CCL21,6366,+,20953353,Not Applicable
NR2F2,7026,TFAP2A,7020,+,20195529,Not Applicable
RELA,5970,CCR7,1236,+,11830455;19164127,Not Applicable
RELA,5970,CCR7,1236,Unknown,22158872,Not Applicable
RELA,5970,CXCL5,6374,Unknown,11559712,Not Applicable
RELB,5971,CCL21,6366,+,20953353,Not Applicable
SP1,6667,CXCL5,6374,+,11559712,Not Applicable
SP1,6667,FBLN1,2192,Unknown,11829738,Not Applicable
SP1,6667,MMP11,4320,+,22227581,Not Applicable
SP3,6670,FBLN1,2192,Unknown,11829738,Not Applicable
SPI1,6688,CTSK,1513,Unknown,15304486,Not Applicable
STAT3,6774,IL11,3589,Unknown,23224145,Not Applicable
TRERF1,55809,CCR7,1236,Unknown,17006331,Not Applicable
YY1,7528,TFAP2A,7020,+,18218085,Not Applicable
ZNF148,7707,CXCL5,6374,Unknown,11559712,Not Applicable
