#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ALDH3B2	GSTA4	9606.ENSP00000501254	9606.ENSP00000360002	0	0	0	0	0.056	0.053	0.650	0.108	0.684
BMP7	CHRDL2	9606.ENSP00000379204	9606.ENSP00000263671	0	0	0	0	0	0.095	0	0.712	0.728
CA4	CYP24A1	9606.ENSP00000300900	9606.ENSP00000216862	0	0	0	0	0.076	0	0	0.761	0.770
CA4	MAPT	9606.ENSP00000300900	9606.ENSP00000340820	0	0.004	0	0	0.067	0.070	0	0.414	0.447
CCL21	CCR7	9606.ENSP00000259607	9606.ENSP00000246657	0	0	0	0	0.156	0.437	0.900	0.999	0.999
CCL21	LAMP3	9606.ENSP00000259607	9606.ENSP00000265598	0	0	0	0	0.060	0	0	0.424	0.435
CCL21	CXCL5	9606.ENSP00000259607	9606.ENSP00000296027	0	0	0	0	0.067	0	0.500	0.707	0.851
CCL21	CXCL9	9606.ENSP00000259607	9606.ENSP00000354901	0	0	0	0	0.286	0.994	0.500	0.829	0.999
CCL7	CCR7	9606.ENSP00000367832	9606.ENSP00000246657	0	0	0	0	0.062	0	0.650	0.634	0.869
CCL7	CXCL5	9606.ENSP00000367832	9606.ENSP00000296027	0	0	0	0	0.184	0	0	0.680	0.728
CCL7	CXCL9	9606.ENSP00000367832	9606.ENSP00000354901	0	0	0	0	0.219	0	0	0.820	0.853
CCR7	TRAF1	9606.ENSP00000246657	9606.ENSP00000362994	0	0	0	0	0.273	0	0	0.213	0.403
CCR7	KCNA3	9606.ENSP00000246657	9606.ENSP00000358784	0	0	0	0	0.127	0	0	0.366	0.422
CCR7	LAMP3	9606.ENSP00000246657	9606.ENSP00000265598	0	0	0	0	0.110	0	0	0.480	0.517
CCR7	ITGB7	9606.ENSP00000246657	9606.ENSP00000267082	0	0	0	0	0.153	0	0	0.479	0.540
CCR7	PDCD1LG2	9606.ENSP00000246657	9606.ENSP00000380855	0	0	0	0	0.107	0	0	0.543	0.575
CCR7	CCL7	9606.ENSP00000246657	9606.ENSP00000367832	0	0	0	0	0.062	0	0.650	0.634	0.869
CCR7	CXCL5	9606.ENSP00000246657	9606.ENSP00000296027	0	0	0	0	0.066	0	0.650	0.655	0.877
CCR7	CXCL9	9606.ENSP00000246657	9606.ENSP00000354901	0	0	0	0	0.163	0	0.650	0.879	0.961
CCR7	CCL21	9606.ENSP00000246657	9606.ENSP00000259607	0	0	0	0	0.156	0.437	0.900	0.999	0.999
CDH6	LUM	9606.ENSP00000265071	9606.ENSP00000266718	0	0	0	0	0.056	0	0	0.406	0.415
CDH6	CLDN5	9606.ENSP00000265071	9606.ENSP00000385477	0	0	0	0	0.090	0	0	0.450	0.478
CETP	GPIHBP1	9606.ENSP00000200676	9606.ENSP00000480053	0	0	0	0	0.072	0	0	0.432	0.450
CHRDL2	BMP7	9606.ENSP00000263671	9606.ENSP00000379204	0	0	0	0	0	0.095	0	0.712	0.728
CLDN18	SFTPA2	9606.ENSP00000340939	9606.ENSP00000361400	0	0	0	0	0.342	0	0	0.161	0.425
CLDN18	PGC	9606.ENSP00000340939	9606.ENSP00000362116	0	0	0	0	0.354	0.045	0	0.239	0.489
CLDN18	CLDN5	9606.ENSP00000340939	9606.ENSP00000385477	0	0	0	0.743	0.042	0	0.650	0.189	0.704
CLDN5	CDH6	9606.ENSP00000385477	9606.ENSP00000265071	0	0	0	0	0.090	0	0	0.450	0.478
CLDN5	CLDN18	9606.ENSP00000385477	9606.ENSP00000340939	0	0	0	0.743	0.042	0	0.650	0.189	0.704
CLDN5	NOTCH4	9606.ENSP00000385477	9606.ENSP00000364163	0	0	0	0	0.303	0	0	0.187	0.409
CLDN5	GPIHBP1	9606.ENSP00000385477	9606.ENSP00000480053	0	0	0	0	0.411	0	0	0.091	0.442
COL17A1	PKP1	9606.ENSP00000497653	9606.ENSP00000263946	0	0	0	0	0.197	0	0	0.348	0.454
COL17A1	COL6A6	9606.ENSP00000497653	9606.ENSP00000351310	0	0	0	0.571	0	0	0.400	0.148	0.467
COL17A1	COL24A1	9606.ENSP00000497653	9606.ENSP00000359603	0	0	0.123	0.573	0	0	0.400	0.209	0.548
COL17A1	KRT6A	9606.ENSP00000497653	9606.ENSP00000369317	0	0	0	0	0.218	0.095	0	0.286	0.451
COL24A1	COL6A6	9606.ENSP00000359603	9606.ENSP00000351310	0	0	0.141	0.559	0.047	0	0.400	0.207	0.558
COL24A1	COL17A1	9606.ENSP00000359603	9606.ENSP00000497653	0	0	0.123	0.573	0	0	0.400	0.209	0.548
COL6A6	ITGB7	9606.ENSP00000351310	9606.ENSP00000267082	0	0	0	0	0.055	0.051	0.650	0.191	0.712
COL6A6	ITGA11	9606.ENSP00000351310	9606.ENSP00000327290	0	0	0	0.550	0	0	0.650	0.229	0.718
COL6A6	COL17A1	9606.ENSP00000351310	9606.ENSP00000497653	0	0	0	0.571	0	0	0.400	0.148	0.467
COL6A6	COL24A1	9606.ENSP00000351310	9606.ENSP00000359603	0	0	0.141	0.559	0.047	0	0.400	0.207	0.558
COL6A6	ITGA10	9606.ENSP00000351310	9606.ENSP00000358310	0	0	0	0.550	0	0	0.650	0.149	0.689
CTSK	LUM	9606.ENSP00000271651	9606.ENSP00000266718	0	0	0	0	0.289	0	0	0.326	0.500
CTSK	HLA-DQA2	9606.ENSP00000271651	9606.ENSP00000364076	0	0	0	0	0.152	0	0.400	0.055	0.477
CXCL5	CCR7	9606.ENSP00000296027	9606.ENSP00000246657	0	0	0	0	0.066	0	0.650	0.655	0.877
CXCL5	CCL21	9606.ENSP00000296027	9606.ENSP00000259607	0	0	0	0	0.067	0	0.500	0.707	0.851
CXCL5	IL11	9606.ENSP00000296027	9606.ENSP00000264563	0	0	0	0	0.140	0	0	0.645	0.682
CXCL5	LAMP3	9606.ENSP00000296027	9606.ENSP00000265598	0	0	0	0	0.048	0	0	0.418	0.423
CXCL5	IL1R2	9606.ENSP00000296027	9606.ENSP00000330959	0	0	0	0	0.080	0.134	0	0.310	0.402
CXCL5	CXCL9	9606.ENSP00000296027	9606.ENSP00000354901	0	0	0	0.809	0.087	0	0.500	0.381	0.693
CXCL5	CCL7	9606.ENSP00000296027	9606.ENSP00000367832	0	0	0	0	0.184	0	0	0.680	0.728
CXCL9	CCR7	9606.ENSP00000354901	9606.ENSP00000246657	0	0	0	0	0.163	0	0.650	0.879	0.961
CXCL9	CCL21	9606.ENSP00000354901	9606.ENSP00000259607	0	0	0	0	0.286	0.994	0.500	0.829	0.999
CXCL9	CXCL5	9606.ENSP00000354901	9606.ENSP00000296027	0	0	0	0.809	0.087	0	0.500	0.381	0.693
CXCL9	IL1R2	9606.ENSP00000354901	9606.ENSP00000330959	0	0	0	0	0.091	0	0	0.580	0.603
CXCL9	PDCD1LG2	9606.ENSP00000354901	9606.ENSP00000380855	0	0	0	0	0.185	0	0	0.544	0.612
CXCL9	HLA-DQA2	9606.ENSP00000354901	9606.ENSP00000364076	0	0	0	0	0.199	0	0	0.582	0.651
CXCL9	CCL7	9606.ENSP00000354901	9606.ENSP00000367832	0	0	0	0	0.219	0	0	0.820	0.853
CYP24A1	CA4	9606.ENSP00000216862	9606.ENSP00000300900	0	0	0	0	0.076	0	0	0.761	0.770
EYA2	TFAP2A	9606.ENSP00000333640	9606.ENSP00000501092	0	0	0	0	0.062	0.235	0	0.231	0.400
F13A1	FOLR2	9606.ENSP00000264870	9606.ENSP00000298223	0	0	0	0	0.338	0	0	0.262	0.490
FAM107A	GPM6A	9606.ENSP00000419124	9606.ENSP00000280187	0	0	0	0	0.256	0	0	0.249	0.417
FBLN1	LUM	9606.ENSP00000331544	9606.ENSP00000266718	0	0	0	0	0.254	0.099	0	0.480	0.620
FBLN1	PRELP	9606.ENSP00000331544	9606.ENSP00000343924	0	0	0	0	0.222	0.099	0	0.348	0.503
FBLN1	MFAP4	9606.ENSP00000331544	9606.ENSP00000378957	0	0	0	0	0.382	0.097	0.500	0.476	0.834
FBLN1	FBLN2	9606.ENSP00000331544	9606.ENSP00000384169	0	0	0.063	0.888	0.347	0.098	0.800	0.608	0.948
FBLN2	LUM	9606.ENSP00000384169	9606.ENSP00000266718	0	0	0	0	0.257	0.099	0	0.345	0.524
FBLN2	FBLN1	9606.ENSP00000384169	9606.ENSP00000331544	0	0	0.063	0.888	0.347	0.098	0.800	0.608	0.948
FBLN2	PRELP	9606.ENSP00000384169	9606.ENSP00000343924	0	0	0	0	0.112	0.334	0	0.325	0.566
FBLN2	MFAP4	9606.ENSP00000384169	9606.ENSP00000378957	0	0	0	0	0.315	0.097	0.500	0.232	0.730
FGF14	NALCN	9606.ENSP00000365301	9606.ENSP00000251127	0	0	0	0	0.216	0.137	0	0.273	0.465
FHL2	ZBTB16	9606.ENSP00000386892	9606.ENSP00000338157	0	0	0	0	0	0.300	0	0.188	0.408
FOLR2	F13A1	9606.ENSP00000298223	9606.ENSP00000264870	0	0	0	0	0.338	0	0	0.262	0.490
GJB2	PKP1	9606.ENSP00000372295	9606.ENSP00000263946	0	0	0	0	0.083	0	0	0.563	0.582
GPIHBP1	CETP	9606.ENSP00000480053	9606.ENSP00000200676	0	0	0	0	0.072	0	0	0.432	0.450
GPIHBP1	CLDN5	9606.ENSP00000480053	9606.ENSP00000385477	0	0	0	0	0.411	0	0	0.091	0.442
GPM6A	FAM107A	9606.ENSP00000280187	9606.ENSP00000419124	0	0	0	0	0.256	0	0	0.249	0.417
GPM6A	PCDH9	9606.ENSP00000280187	9606.ENSP00000367096	0	0	0	0	0.450	0	0	0.099	0.483
GPM6A	MAPT	9606.ENSP00000280187	9606.ENSP00000340820	0	0	0	0	0.204	0.408	0	0.159	0.570
GSTA4	ALDH3B2	9606.ENSP00000360002	9606.ENSP00000501254	0	0	0	0	0.056	0.053	0.650	0.108	0.684
HAS2	LUM	9606.ENSP00000306991	9606.ENSP00000266718	0	0	0	0	0.150	0.065	0	0.305	0.400
HLA-DQA2	CTSK	9606.ENSP00000364076	9606.ENSP00000271651	0	0	0	0	0.152	0	0.400	0.055	0.477
HLA-DQA2	CXCL9	9606.ENSP00000364076	9606.ENSP00000354901	0	0	0	0	0.199	0	0	0.582	0.651
HLA-DQA2	NOTCH4	9606.ENSP00000364076	9606.ENSP00000364163	0	0	0	0	0.104	0	0	0.368	0.409
HLA-DQA2	PDCD1LG2	9606.ENSP00000364076	9606.ENSP00000380855	0	0	0	0	0.051	0	0.500	0.324	0.651
IL11	CXCL5	9606.ENSP00000264563	9606.ENSP00000296027	0	0	0	0	0.140	0	0	0.645	0.682
IL11	IL13RA2	9606.ENSP00000264563	9606.ENSP00000361004	0	0	0	0	0.053	0	0.650	0.520	0.827
IL13RA2	IL11	9606.ENSP00000361004	9606.ENSP00000264563	0	0	0	0	0.053	0	0.650	0.520	0.827
IL1R2	CXCL5	9606.ENSP00000330959	9606.ENSP00000296027	0	0	0	0	0.080	0.134	0	0.310	0.402
IL1R2	TRAF1	9606.ENSP00000330959	9606.ENSP00000362994	0	0	0	0	0.126	0.071	0	0.410	0.479
IL1R2	CXCL9	9606.ENSP00000330959	9606.ENSP00000354901	0	0	0	0	0.091	0	0	0.580	0.603
ITGA10	ITGB7	9606.ENSP00000358310	9606.ENSP00000267082	0	0	0	0	0.080	0.114	0.900	0.599	0.962
ITGA10	ITGA11	9606.ENSP00000358310	9606.ENSP00000327290	0	0	0	0.917	0.082	0	0.900	0.460	0.946
ITGA10	COL6A6	9606.ENSP00000358310	9606.ENSP00000351310	0	0	0	0.550	0	0	0.650	0.149	0.689
ITGA11	ITGB7	9606.ENSP00000327290	9606.ENSP00000267082	0	0	0	0	0.099	0.114	0.900	0.536	0.958
ITGA11	COL6A6	9606.ENSP00000327290	9606.ENSP00000351310	0	0	0	0.550	0	0	0.650	0.229	0.718
ITGA11	ITGA10	9606.ENSP00000327290	9606.ENSP00000358310	0	0	0	0.917	0.082	0	0.900	0.460	0.946
ITGB7	CCR7	9606.ENSP00000267082	9606.ENSP00000246657	0	0	0	0	0.153	0	0	0.479	0.540
ITGB7	COL6A6	9606.ENSP00000267082	9606.ENSP00000351310	0	0	0	0	0.055	0.051	0.650	0.191	0.712
ITGB7	ITGA11	9606.ENSP00000267082	9606.ENSP00000327290	0	0	0	0	0.099	0.114	0.900	0.536	0.958
ITGB7	ITGA10	9606.ENSP00000267082	9606.ENSP00000358310	0	0	0	0	0.080	0.114	0.900	0.599	0.962
KCNA3	CCR7	9606.ENSP00000358784	9606.ENSP00000246657	0	0	0	0	0.127	0	0	0.366	0.422
KCNA3	KCNN2	9606.ENSP00000358784	9606.ENSP00000264773	0	0	0	0	0.086	0	0	0.560	0.581
KCNMB4	KCNN2	9606.ENSP00000258111	9606.ENSP00000264773	0	0	0	0	0	0	0.900	0.655	0.964
KCNN2	KCNMB4	9606.ENSP00000264773	9606.ENSP00000258111	0	0	0	0	0	0	0.900	0.655	0.964
KCNN2	KCNA3	9606.ENSP00000264773	9606.ENSP00000358784	0	0	0	0	0.086	0	0	0.560	0.581
KRT6A	PKP1	9606.ENSP00000369317	9606.ENSP00000263946	0	0	0	0	0.353	0	0	0.377	0.580
KRT6A	COL17A1	9606.ENSP00000369317	9606.ENSP00000497653	0	0	0	0	0.218	0.095	0	0.286	0.451
LAMP3	CCR7	9606.ENSP00000265598	9606.ENSP00000246657	0	0	0	0	0.110	0	0	0.480	0.517
LAMP3	CCL21	9606.ENSP00000265598	9606.ENSP00000259607	0	0	0	0	0.060	0	0	0.424	0.435
LAMP3	CXCL5	9606.ENSP00000265598	9606.ENSP00000296027	0	0	0	0	0.048	0	0	0.418	0.423
LRRK2	TUBB3	9606.ENSP00000298910	9606.ENSP00000320295	0	0	0	0	0	0.356	0	0.183	0.452
LRRK2	SYT12	9606.ENSP00000298910	9606.ENSP00000377520	0	0	0	0	0	0	0	0.507	0.507
LRRK2	MAPT	9606.ENSP00000298910	9606.ENSP00000340820	0	0	0	0	0	0.628	0	0.826	0.932
LUM	CDH6	9606.ENSP00000266718	9606.ENSP00000265071	0	0	0	0	0.056	0	0	0.406	0.415
LUM	HAS2	9606.ENSP00000266718	9606.ENSP00000306991	0	0	0	0	0.150	0.065	0	0.305	0.400
LUM	PRG4	9606.ENSP00000266718	9606.ENSP00000399679	0	0	0	0	0.049	0	0	0.419	0.423
LUM	CTSK	9606.ENSP00000266718	9606.ENSP00000271651	0	0	0	0	0.289	0	0	0.326	0.500
LUM	FBLN2	9606.ENSP00000266718	9606.ENSP00000384169	0	0	0	0	0.257	0.099	0	0.345	0.524
LUM	FBLN1	9606.ENSP00000266718	9606.ENSP00000331544	0	0	0	0	0.254	0.099	0	0.480	0.620
LUM	MFAP4	9606.ENSP00000266718	9606.ENSP00000378957	0	0	0	0	0.354	0	0	0.603	0.732
LUM	PRELP	9606.ENSP00000266718	9606.ENSP00000343924	0	0	0.103	0.874	0.128	0	0.500	0.484	0.771
MAPT	GPM6A	9606.ENSP00000340820	9606.ENSP00000280187	0	0	0	0	0.204	0.408	0	0.159	0.570
MAPT	LRRK2	9606.ENSP00000340820	9606.ENSP00000298910	0	0	0	0	0	0.628	0	0.826	0.932
MAPT	CA4	9606.ENSP00000340820	9606.ENSP00000300900	0	0.004	0	0	0.067	0.070	0	0.414	0.447
MAPT	TUBB3	9606.ENSP00000340820	9606.ENSP00000320295	0	0	0	0	0	0.791	0.900	0.427	0.987
MAPT	SYT12	9606.ENSP00000340820	9606.ENSP00000377520	0	0	0	0	0.110	0.071	0	0.447	0.503
MFAP4	LUM	9606.ENSP00000378957	9606.ENSP00000266718	0	0	0	0	0.354	0	0	0.603	0.732
MFAP4	FBLN1	9606.ENSP00000378957	9606.ENSP00000331544	0	0	0	0	0.382	0.097	0.500	0.476	0.834
MFAP4	PRELP	9606.ENSP00000378957	9606.ENSP00000343924	0	0	0	0	0.234	0	0	0.323	0.459
MFAP4	FBLN2	9606.ENSP00000378957	9606.ENSP00000384169	0	0	0	0	0.315	0.097	0.500	0.232	0.730
MS4A15	PI15	9606.ENSP00000386022	9606.ENSP00000260113	0	0	0	0	0.056	0	0	0.428	0.437
NALCN	FGF14	9606.ENSP00000251127	9606.ENSP00000365301	0	0	0	0	0.216	0.137	0	0.273	0.465
NOTCH4	HLA-DQA2	9606.ENSP00000364163	9606.ENSP00000364076	0	0	0	0	0.104	0	0	0.368	0.409
NOTCH4	CLDN5	9606.ENSP00000364163	9606.ENSP00000385477	0	0	0	0	0.303	0	0	0.187	0.409
PCDH9	GPM6A	9606.ENSP00000367096	9606.ENSP00000280187	0	0	0	0	0.450	0	0	0.099	0.483
PDCD1LG2	CCR7	9606.ENSP00000380855	9606.ENSP00000246657	0	0	0	0	0.107	0	0	0.543	0.575
PDCD1LG2	CXCL9	9606.ENSP00000380855	9606.ENSP00000354901	0	0	0	0	0.185	0	0	0.544	0.612
PDCD1LG2	HLA-DQA2	9606.ENSP00000380855	9606.ENSP00000364076	0	0	0	0	0.051	0	0.500	0.324	0.651
PGC	CLDN18	9606.ENSP00000362116	9606.ENSP00000340939	0	0	0	0	0.354	0.045	0	0.239	0.489
PI15	MS4A15	9606.ENSP00000260113	9606.ENSP00000386022	0	0	0	0	0.056	0	0	0.428	0.437
PKP1	COL17A1	9606.ENSP00000263946	9606.ENSP00000497653	0	0	0	0	0.197	0	0	0.348	0.454
PKP1	KRT6A	9606.ENSP00000263946	9606.ENSP00000369317	0	0	0	0	0.353	0	0	0.377	0.580
PKP1	GJB2	9606.ENSP00000263946	9606.ENSP00000372295	0	0	0	0	0.083	0	0	0.563	0.582
PLLP	PRR15L	9606.ENSP00000219207	9606.ENSP00000300557	0	0	0	0	0.054	0	0	0.442	0.450
PRELP	LUM	9606.ENSP00000343924	9606.ENSP00000266718	0	0	0.103	0.874	0.128	0	0.500	0.484	0.771
PRELP	FBLN1	9606.ENSP00000343924	9606.ENSP00000331544	0	0	0	0	0.222	0.099	0	0.348	0.503
PRELP	PRG4	9606.ENSP00000343924	9606.ENSP00000399679	0	0	0	0	0.072	0	0	0.395	0.414
PRELP	MFAP4	9606.ENSP00000343924	9606.ENSP00000378957	0	0	0	0	0.234	0	0	0.323	0.459
PRELP	FBLN2	9606.ENSP00000343924	9606.ENSP00000384169	0	0	0	0	0.112	0.334	0	0.325	0.566
PRG4	LUM	9606.ENSP00000399679	9606.ENSP00000266718	0	0	0	0	0.049	0	0	0.419	0.423
PRG4	PRELP	9606.ENSP00000399679	9606.ENSP00000343924	0	0	0	0	0.072	0	0	0.395	0.414
PRR15L	PLLP	9606.ENSP00000300557	9606.ENSP00000219207	0	0	0	0	0.054	0	0	0.442	0.450
SFTPA2	CLDN18	9606.ENSP00000361400	9606.ENSP00000340939	0	0	0	0	0.342	0	0	0.161	0.425
SYT12	LRRK2	9606.ENSP00000377520	9606.ENSP00000298910	0	0	0	0	0	0	0	0.507	0.507
SYT12	MAPT	9606.ENSP00000377520	9606.ENSP00000340820	0	0	0	0	0.110	0.071	0	0.447	0.503
TFAP2A	EYA2	9606.ENSP00000501092	9606.ENSP00000333640	0	0	0	0	0.062	0.235	0	0.231	0.400
TRAF1	CCR7	9606.ENSP00000362994	9606.ENSP00000246657	0	0	0	0	0.273	0	0	0.213	0.403
TRAF1	IL1R2	9606.ENSP00000362994	9606.ENSP00000330959	0	0	0	0	0.126	0.071	0	0.410	0.479
TUBB3	LRRK2	9606.ENSP00000320295	9606.ENSP00000298910	0	0	0	0	0	0.356	0	0.183	0.452
TUBB3	MAPT	9606.ENSP00000320295	9606.ENSP00000340820	0	0	0	0	0	0.791	0.900	0.427	0.987
ZBTB16	ZNF385B	9606.ENSP00000338157	9606.ENSP00000386845	0	0	0	0	0.062	0	0	0.392	0.405
ZBTB16	FHL2	9606.ENSP00000338157	9606.ENSP00000386892	0	0	0	0	0	0.300	0	0.188	0.408
ZNF385B	ZBTB16	9606.ENSP00000386845	9606.ENSP00000338157	0	0	0	0	0.062	0	0	0.392	0.405
